LGD,GDP_Growth_Percent,Inflation_Rate_Percent,Policy_Rate_Percent,Exposure_at_Default,Asset_Coverage_Value,Lending_Rate_Percent,Loan_Duration_Months,Risk_Score,Loan_Category,Applicant_Age,Employment_Status,Household_Income
0.3537,0.18,87.11,41.82,71666.81,30163.16,39.46,29,802.0,Business,39,Unemployed,10945.12
0.2486,1.28,53.23,30.86,64900.61,37903.79,30.9,32,415.0,Business,50,Employed,7869.91
0.416,-0.57,100.86,43.06,78788.91,43005.27,32.86,25,322.0,Agricultural,25,Unemployed,16969.37
0.16,1.95,104.41,47.24,40809.02,31634.05,52.26,30,708.0,Personal,51,Unemployed,19146.62
0.5503,0.26,101.07,36.37,15237.77,18043.76,40.26,7,755.0,Business,27,Self-Employed,11841.74
0.1109,0.61,85.67,23.16,70905.02,27793.57,40.81,14,832.0,Business,39,Employed,16456.01
0.5099,0.83,65.88,30.01,56995.39,22577.52,40.85,33,789.0,Business,51,Self-Employed,13182.13
0.1773,1.3,38.82,52.03,44079.08,24964.96,51.16,58,630.0,Business,59,Self-Employed,14079.84
0.1983,1.51,88.14,34.25,45196.94,29053.76,31.64,43,592.0,Personal,44,Employed,2560.89
0.3762,2.58,106.64,1.75,101093.73,28658.44,36.83,8,315.0,Personal,54,Self-Employed,13891.09
0.5435,0.92,104.91,20.31,37156.11,34121.09,38.65,25,436.0,Personal,43,Employed,19846.85
0.0848,1.98,101.32,30.76,32933.93,35573.04,26.23,11,553.0,Personal,60,Unemployed,11842.99
0.3579,4.23,83.52,45.36,51705.68,28658.55,32.67,44,646.0,Business,26,Employed,15262.63
0.2733,1.88,106.75,32.27,73609.82,34034.69,48.37,38,606.0,Agricultural,58,Employed,11220.25
0.1344,1.32,103.48,45.54,95568.04,24506.4,46.08,6,708.0,Agricultural,61,Employed,16802.21
0.3533,0.72,76.55,29.74,63147.3,43147.8,47.5,42,454.0,Business,56,Self-Employed,13917.38
0.1328,1.31,98.53,15.36,24591.83,24344.89,35.29,11,611.0,Business,47,Employed,10303.79
0.3264,0.61,74.28,30.08,89417.29,41971.86,36.27,50,348.0,Agricultural,31,Employed,21662.76
0.1658,1.77,95.8,38.45,49610.63,15239.33,25.7,39,528.0,Agricultural,25,Employed,19644.66
0.2077,1.6,59.02,37.62,33245.81,26195.93,47.46,52,713.0,Business,37,Unemployed,11975.47
0.2634,-0.66,60.56,22.45,28412.15,26690.22,48.77,20,681.0,Business,27,Employed,17488.94
0.39,1.48,106.16,31.49,66726.57,32789.92,48.67,50,845.0,Personal,47,Self-Employed,17687.06
0.0,2.58,103.75,61.85,54776.59,38618.17,52.83,31,453.0,Personal,35,Employed,18211.51
0.3055,1.1,97.67,22.67,56901.51,17506.05,43.38,19,574.0,Agricultural,33,Employed,6528.72
0.2033,0.85,86.76,41.61,75730.06,18920.17,52.46,59,481.0,Business,31,Unemployed,20033.03
0.1839,0.12,37.17,14.03,33956.91,15980.92,38.4,12,542.0,Agricultural,46,Employed,12151.51
0.3678,-0.36,83.5,43.64,77323.09,43201.84,25.86,51,771.0,Personal,42,Self-Employed,13210.86
0.2021,2.33,94.08,26.08,39616.85,32976.05,46.89,36,676.0,Personal,48,Employed,28189.41
0.1863,1.32,74.31,39.02,93280.15,19156.29,25.57,29,785.0,Agricultural,44,Self-Employed,16509.37
0.2835,2.27,70.75,22.08,61974.78,25569.05,41.36,36,412.0,Personal,49,Unemployed,13068.39
0.1004,3.03,113.89,37.91,31595.23,41817.61,47.64,34,780.0,Business,29,Employed,3973.53
0.2077,2.42,83.79,25.91,9491.64,27218.81,42.59,47,333.0,Agricultural,62,Unemployed,21948.82
0.3096,0.96,94.1,27.85,66178.49,26628.12,58.23,37,789.0,Business,24,Employed,8273.95
0.0444,1.64,100.48,39.42,42516.39,22187.03,24.27,22,481.0,Business,38,Self-Employed,9982.81
0.0,0.89,64.97,30.7,46888.69,19750.08,39.34,19,473.0,Personal,63,Unemployed,13343.24
0.211,0.79,88.86,38.8,65323.92,41833.24,40.14,45,582.0,Business,36,Employed,22082.06
0.3582,1.84,111.39,33.09,70208.28,46739.02,29.25,41,817.0,Agricultural,53,Self-Employed,18866.2
0.6522,0.67,121.38,35.67,74474.21,20148.06,30.77,53,326.0,Business,49,Unemployed,14210.81
