episode,ep_reward,rolling_mean_reward,total_profit,approval_rate,default_rate,volume_lent,roi,policy_loss,value_loss,entropy,approx_kl
1,385.59300262120905,385.59300262120905,3855930.026212084,65.0,72.0,16112669.830000015,23.931043501138262,0.0,0.0,0.0,0.0
2,430.32975903660963,407.96138082890934,4303297.590366084,66.0,68.48484848484848,15345633.830000002,28.042488423992868,0.0,0.0,0.0,0.0
3,369.8056181900012,395.24279328260667,3698056.181900001,58.599999999999994,65.52901023890784,13912595.430000005,26.58063479604826,0.0,0.0,0.0,0.0
4,418.15964483632683,400.9720061710367,4181596.4483632497,54.2,59.40959409594095,12551877.590000002,33.3145094698398,0.0,0.0,0.0,0.0
5,451.05151481858564,410.9879079005465,4510515.148185835,51.2,58.59375,11797620.640000004,38.23241385549276,0.0,0.0,0.0,0.0
6,395.5868727059355,408.42106870144465,3955868.727059333,52.800000000000004,62.121212121212125,12373449.729999999,31.970621074801375,0.0,0.0,0.0,0.0
7,379.2666164493263,404.256146951142,3792666.16449325,50.8,63.77952755905512,11762527.51,32.243632682422096,0.0,0.0,0.0,0.0
8,408.46819228289314,404.7826526176109,4084681.9228289174,47.8,59.83263598326359,10789020.160000002,37.859618966815574,0.0,0.0,0.0,0.0
9,452.05674920013524,410.03533001566916,4520567.492001333,51.800000000000004,57.14285714285714,11641430.600000005,38.83171791619263,0.0,0.0,0.0,0.0
10,397.6520716627934,408.7970041803816,3976520.716627916,49.0,59.183673469387756,11046488.870000005,35.99805117649038,0.0,0.0,0.0,0.0
11,449.30879377283526,415.16858329554424,4493087.937728332,54.800000000000004,60.21897810218978,12164214.579999998,36.93693421945811,0.0,0.0,0.0,0.0
12,422.9055648066848,414.42616387255174,4229055.648066835,50.8,61.023622047244096,11454094.710000006,36.921779984712835,0.0,0.0,0.0,0.0
13,430.78448191303625,420.52405024485523,4307844.819130333,52.400000000000006,62.59541984732825,11727437.589999996,36.733044077792734,0.0,0.0,0.0,0.0
14,420.134474849169,420.7215332461395,4201344.748491666,53.0,61.13207547169811,12020090.939999994,34.95268687619154,0.0,0.0,0.0,0.0
15,513.4212241000276,426.95850417428363,5134212.241000248,54.6,57.509157509157504,12370592.939999998,41.50336419525133,0.0,0.0,0.0,0.0
16,404.2059583685443,427.82041274054455,4042059.5836854163,52.0,62.69230769230769,11636831.280000003,34.735053610620156,0.0,0.0,0.0,0.0
17,416.90347104742693,431.58409820035456,4169034.7104742494,51.800000000000004,61.38996138996139,11746101.659999989,35.49292208726085,0.0,0.0,0.0,0.0
18,509.30975961110266,441.66825493317555,5093097.596111,53.6,57.83582089552238,12096238.339999996,42.10480525395303,0.0,0.0,0.0,0.0
19,417.6891715261021,438.23149716577217,4176891.7152609993,54.800000000000004,64.23357664233576,12283415.379999995,34.004318717918345,0.0,0.0,0.0,0.0
20,419.2808306592762,440.3943730654206,4192808.3065927485,52.400000000000006,61.832061068702295,11804596.429999998,35.518438359630984,0.0,0.0,0.0,0.0
21,488.6177995264278,444.32527364077976,4886177.995264251,53.2,55.639097744360896,11805346.409999995,41.38953509339886,0.0,0.0,0.0,0.0
22,380.68787430220107,440.10350459033134,3806878.743022001,56.99999999999999,64.56140350877193,12750494.490000002,29.856714545523484,0.0,0.0,0.0,0.0
